"Years","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"                Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"659","687","683","743","665","701","658","639","656","711","726","713",,
"                Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"735","687","722","762","708","746","747","676","727","725","711","730",,
"                Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"895","884","864","892","903","885","920","861","920","902","958","916",,
"                Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"949","949","984","915","937","929","1012","934","1040","1070","1045","1136",,
"                Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"329","293","317","306","313","339","304","319","278","305","296","329",,
"                Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2689","2604","2609","2659","2641","2592","2584","2587","2682","2678","2769","2794",,
"                Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3155","3287","3048","3154","3082","2982","3023","2997","2940","3099","2922","3091",,
"                Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2703","2712","2625","2606","2708","2606","2613","2564","2488","2516","2674","2666",,
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1744","1704","1803","1784","1782","1798","1688","1688","1697","1771","1836","1797",,
"                Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"551","548","514","508","517","547","537","500","503","491","553","561",,
"                Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1345","1373","1299","1375","1392","1440","1344","1401","1288","1422","1421","1555",,
"                Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"244","223","219","218","245","220","219","271","259","285","267","242",,
"                Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"467","544","482","474","494","562","522","513","561","553","518","563",,
"                Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"956","961","975","983","972","981","1043","1005","1042","1094","1126","1158",,
"                New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"448","407","390","394","396","345","372","302","360","305","316","346",,
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4374","4410","4388","4325","4342","4362","4117","4251","4382","4290","4487","4682",,
"                New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"542","593","559","570","584","553","522","521","494","530","519","528",,
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"9657","9718","9880","9935","9912","10136","9938","9755","10098","10097","10423","10700",,
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2559","2734","2690","2784","2803","2833","2862","2974","2925","3063","3233","3156",,
"                North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"140","144","151","129","155","111","147","155","170","220","199","182",,
"                Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2890","2779","2789","2798","2832","2813","2948","2752","2722","2760","2750","2899",,
"                Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"741","708","696","780","792","783","826","807","847","850","798","861",,
"                Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1110","1096","1169","1201","1239","1288","1285","1341","1340","1469","1419","1451",,
"                Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3909","3801","3862","3742","3721","3719","3667","3652","3518","3410","3659","3681",,
"                Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"351","331","390","368","347","343","359","319","342","327","338","391",,
"                South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1039","1041","1053","1122","1139","1118","1107","1180","1201","1187","1233","1257",,
"                South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"156","186","201","183","217","187","190","193","202","222","234","187",,
"                Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1392","1334","1338","1422","1455","1472","1508","1562","1572","1586","1548","1650",,
"                Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"7519","7786","8165","8272","8671","8961","9218","9471","9929","10096","9926","10307",,
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"785","790","768","846","840","899","889","955","998","1056","1128","1132",,
"                Vermont (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"183","155","187","183","176","156","174","179","136","163","179","161",,
"                Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2972","3171","3070","3164","3262","3236","3247","3218","3264","3288","3262","3387",,
"                Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2367","2480","2564","2505","2611","2543","2648","2591","2723","2795","2828","2954",,
"                West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"361","319","275","336","316","292","259","270","327","270","312","303",,
"                Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1580","1539","1526","1477","1483","1492","1399","1425","1436","1407","1501","1547",,
"                Wyoming (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"113","119","129","120","105","118","119","120","127","135","116",,,
"         45 or older (People)","1200","1190","1236","1150","1108","1162","1251","1375","1427","1599","1638","1709","2008","2329","2507","2727","3045","3477","3782","4348","4604","5083","5487","5845","6122","6536","6974","7353","7650","7889","7725","7610","7757","8172","8443","8925","9043","9323","9575","9609","9214"
"            By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Alabama (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"36","36","41","41","48","46","52","41","51","34","47","56",,
"                Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"23","16","19","16","14","20","22","17","16","18","20",,,
"                Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"135","116","150","140","116","107","146","136","140","141","178","176",,
"                Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"35","31","23","21","24","27","25","35","37","31","28","31",,
"                California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1444","1618","1578","1482","1545","1652","1705","1725","1855","1936","2000","2107",,
"                Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"137","113","133","133","135","150","119","135","140","137","149","142",,
"                Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"126","85","151","122","107","106","137","132","127","125","132","101",,
"                Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"11","16","24","24","12","11","16","18","24","30","18","22",,
"                District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"22","37","37","41","34","27","41","45","44","48","30","60",,
"                Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"393","449","434","407","419","427","426","471","539","531","541","570",,
"                Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"223","206","212","186","259","226","223","250","262","265","276","263",,
"                Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"43","39","39","40","45","53","52","67","61","48","71","61",,
"                Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"20","37","32","32","20","24","34","25","31","33","35","29",,
"                Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"304","349","318","336","318","323","356","357","377","351","360","350",,
"                Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"67","81","106","92","65","68","85","77","109","95","108","107",,
"                Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"40","54","50","42","28","40","39","35","59","36","34","35",,
"                Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"49","51","39","50","34","44","41","39","39","29","42","39",,
"                Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"55","58","58","57","61","43","61","43","49","57","47","55",,
"                Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"32","39","49","57","33","46","45","61","54","74","66","48",,
"                Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"23","14","16","11","21","23","35","16","20","20","17","17",,
"                Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"197","209","222","206","201","190","213","247","250","237","234","276",,
"                Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"236","241","215","205","226","258","244","252","251","263","243","216",,
"                Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"165","190","159","197","161","175","177","183","182","200","218","177",,
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"118","150","131","117","140","140","134","152","153","155","155","172",,
"                Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"37","33","33","32","28","25","29","44","28","24","34","22",,
"                Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"81","77","74","80","76","72","69","80","75","78","83","83",,
"                Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"16","17","16","21","13",,"18","14","17","17","22","16",,
"                Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"23","27","28","26","34","31","27","33","30","32","35","35",,
"                Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"49","65","58","64","48","54","51","82","82","61","84","92",,
"                New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"39","28","14","13","24","18","20","30","19","16","25","29",,
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"377","291","336","340","373","322","353","332","340","404","403","401",,
"                New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"47","47","45","38","27","30","20","31","28","30","38","28",,
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"808","825","863","860","835","855","894","886","957","965","1029","1062",,
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"142","157","137","175","162","135","170","194","213","203","220","218",,
"                North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11","16","10","13",,,"16","10","10",,
"                Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"201","158","208","162","194","165","166","185","201","187","180","238",,
"                Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"43","36","47","38","29","37","31","27","54","55","54","40",,
"                Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"95","69","67","81","71","78","90","95","98","87","92","81",,
"                Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"219","252","258","277","276","266","288","294","283","279","289","279",,
"                Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"19","19","24","13","21","17","29","19","22","18","24","16",,
"                South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"47","63","69","48","34","35","50","79","85","82","66","88",,
"                South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14",,"11",,"12",,"12",,"16","11","13","18",,
"                Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"59","68","97","76","80","77","71","93","86","104","120","110",,
"                Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"441","482","504","539","493","568","621","616","667","688","662","746",,
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"52","50","57","57","39","46","54","63","59","73","69","68",,
"                Vermont (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16","13","15",,"17","18",,,"10","12",,
"                Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"198","222","249","248","255","223","249","248","260","282","264","298",,
"                Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"183","193","200","188","192","208","187","191","210","226","241","246",,
"                West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"13","16","27","32","21","17","12","28",,"14","22","28",,
"                Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"91","101","101","98","72","99","100","79","92","68","86","77",,
"                Wyoming (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16",,"10","12",,,,
"    By race",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        White (People)","2936351","2947679","2984817","2946468","2967100","3037913","3019175","3043828","3102083","3192355","3290273","3241273","3201678","3149833","3121004","3098885","3093057","3072640","3118727","3132501","3194005","3177626","3174760","3225848","3222928","3229294","3310308","3336626","3274163","3173293","3069315","3020355","2999820","2985757","3019863","3012855","2945970","2857845","2834713","2790446",
"            By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Alabama (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"43885","43469","41975","40571","40066","38995","38971","39578","39845","39223","38716","38305",,
"                Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"6929","7158","6935","7051","7053","6817","7407","7288","7244","7072","6450","6262",,
"                Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"88488","84934","78582","73690","71526","72060","71470","72687","71422","70274","67792","66724",,
"                Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"32292","31629","31207","30172","30370","29753","29093","29632","29532","28922","27963","27801",,
"                California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"454401","440401","418252","404691","395419","389766","382714","383492","377423","370521","355505","343646",,
"                Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"64120","63369","61883","59487","58382","57945","57591","58117","58756","58259","55857","54546",,
"                Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"33371","32202","30929","29789","29491","28752","28454","28543","28164","27311","26705","26430",,
"                Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"8330","8249","7785","7709","7571","7383","7204","7314","7341","7056","6807","6724",,
"                District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3405","3575","3284","3288","3492","3811","3629","3985","4061","3708","3688","4025",,
"                Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"172081","165451","157327","153289","152835","152098","154791","159035","162594","158448","156163","159587",,
"                Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"92774","87010","83455","78629","77416","76416","75114","76226","76904","73999","73456","72910",,
"                Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5569","5874","5679","5868","5978","5770","6045","6368","6322","6103","5781","5607",,
"                Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"23973","24040","22660","22097","21221","21795","21246","21696","21618","21247","20905","20181",,
"                Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"138990","135473","131016","126270","123442","120744","119157","119995","119630","115643","111066","108510",,
"                Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"77657","76077","74109","71629","71292","70416","70166","70967","70741","69408","68143","67443",,
"                Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"37620","37056","36322","35360","34790","34997","35240","35528","35279","34862","33499","33008",,
"                Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"36976","36703","36384","35722","34804","35458","34178","34420","34251","33165","31513","31384",,
"                Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"52546","51582","50726","49157","48647","49156","48955","49248","49061","48361","47570","46835",,
"                Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"38737","37866","37936","36178","35806","36217","36633","37562","37801","36154","34653","34291",,
"                Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"13437","12871","12706","12236","11974","12005","11950","11842","11805","11903","11361","11383",,
"                Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"45708","45349","43410","42307","42024","41834","41474","42525","42471","40308","39071","40800",,
"                Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"62365","61321","59228","57343","57261","56247","55993","55882","55350","54643","53874","52339",,
"                Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"97449","93196","89803","87230","86838","86081","85994","87070","85838","85673","83258","82634",,
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"59730","58120","56720","54961","54963","54667","54670","54774","54407","53674","52343","51438",,
"                Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"24797","24336","22943","21780","21819","21436","20818","20894","20730","20466","19688","19881",,
"                Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"66779","65834","64369","62642","61895","61202","61097","60968","60913","60235","58472","58707",,
"                Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"10608","10769","10509","10416","10344","10402","10615","10572","10768","10426","10081","9894",,
"                Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"23531","23682","23491","22672","22635","22621","22670","23178","23126","22777","22004","21711",,
"                Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"33345","31872","30168","28782","27916","27321","27293","27638","27648","27130","26160","26192",,
"                New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"13299","12820","12512","12055","12022","11520","11570","11494","11600","11370","11236","11096",,
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"82876","79773","78136","75529","74496","72355","71729","71033","72400","71042","69874","71193",,
"                New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"25532","24983","23854","23006","22517","22228","21325","21161","21183","20357","19568","18963",,
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"174110","176789","174867","172593","165598","163775","163120","164486","163871","157401","155248","156160",,
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"94438","93598","90339","86234","81604","80895","79617","81257","81154","79747","78265","79033",,
"                North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"7501","7585","7622","7738","8074","8559","8940","9509","9345","9233","8654","8560",,
"                Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"121086","118836","115804","110895","110001","109769","109749","110003","109566","107826","106410","105192",,
"                Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"42325","42015","41523","40578","39589","39923","40619","40258","40143","39053","37271","37046",,
"                Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"44547","43970","42238","40644","40326","40127","40219","40634","40484","40179","38164","37021",,
"                Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"117857","116074","113170","110878","111053","109519","109007","110809","109595","108413","106465","104585",,
"                Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"10437","10038","9233","8998","8797","8783","8672","8734","8824","8599","8503","8219",,
"                South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"40164","39955","38740","37412","36916","36757","36768","37543","38056","37382","36680","36934",,
"                South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"9730","9600","9510","9460","9240","9476","9527","9601","9504","9550","9358","9250",,
"                Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"65392","64285","61386","59964","60052","60594","59804","61391","61814","60395","60360","60829",,
"                Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"340602","338184","334634","320637","312947","314717","318211","326480","327429","316371","301139","302547",,
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"52013","52450","50800","49181","47977","48118","47652","47851","47381","46985","45003","43770",,
"                Vermont (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"6307","6112","5897","5973","5812","5726","5696","5825","5554","5451","5321","5105",,
"                Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"76506","75280","73563","72203","72333","71823","71126","71861","71485","69409","67207","67832",,
"                Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"72314","73695","72794","70375","70156","70086","69376","70966","71041","70519","67535","66555",,
"                West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"21005","20472","20261","19505","19777","19822","19823","19245","18814","18078","17604","17206",,
"                Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"61321","60649","59205","57374","56858","56054","55485","55520","55350","54782","53031","52355",,
"                Wyoming (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"7371","7532","7412","7067","6940","7029","7090","7178","7217","6857","6405","6064",,
"        Black (People)","568080","564955","568506","562624","568138","581824","592910","611173","638562","673124","684336","682602","673633","658875","636391","603139","594781","599913","609902","605970","622598","606156","593691","599847","616074","633134","666481","675676","670809","657618","636425","632901","634126","634760","640562","640079","654067","658115","633552","634642",
"            By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Alabama (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"19788","19960","19294","18297","18075","18167","18014","18417","18429","18488","18877","18104",,
"                Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"472","434","479","467","521","429","524","548","509","495","538","491",,
"                Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4345","4492","4505","4447","4475","4857","4870","5208","5095","5222","5406","5502",,
"                Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"8127","8092","7718","7447","7310","7371","7354","7376","7767","7670","7760","7497",,
"                California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"34081","34589","33622","32930","32821","32608","31977","31654","30546","30808","30338","29000",,
"                Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3420","3482","3430","3579","3452","3606","3760","3926","4049","4147","4309","4263",,
"                Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5632","5643","5460","5262","5246","5195","5103","5154","4988","5675","5576","5662",,
"                Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3294","3290","3235","3117","3110","3024","3061","2988","3134","3215","3283","3193",,
"                District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5238","5320","5325","5346","5229","5005","5117","5026","5002","5581","5317","4607",,
"                Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"58082","57432","55994","53859","52858","53159","52959","53148","53699","57593","58465","53455",,
"                Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"52012","53311","51570","49201","48459","47372","47392","47909","47734","48904","48573","46488",,
"                Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"515","603","501","610","651","611","671","617","620","700","619","639",,
"                Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"172","199","198","191","230","223","225","250","287","308","362","356",,
"                Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"31921","31177","30267","29019","27925","28111","27692","28160","28059","27844","27804","26130",,
"                Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"10383","10680","10437","10224","10227","10419","10445","10666","10656","10860","11130","11454",,
"                Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1900","1907","2063","1967","1950","2120","2232","2467","2597","2831","3079","3066",,
"                Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3267","3350","3270","3238","3116","3154","2967","3097","3090","3086","3204","3159",,
"                Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5672","5685","5668","5484","5452","5293","5458","5571","5507","5601","5695","5637",,
"                Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"25915","25759","25322","24424","24361","24542","24678","25025","25001","25037","24562","23434",,
"                Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"335","374","403","396","408","421","455","450","473","456","577","586",,
"                Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"27210","26727","26061","25706","25148","25114","24764","25339","25017","26414","26094","24332",,
"                Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"9473","9434","9580","9423","9462","9375","9178","9276","9288","9526","10005","10004",,
"                Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"22575","22948","22576","22592","22386","22119","22645","22237","22394","22260","22668","22091",,
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"7010","7077","6858","6934","6791","7209","7650","8033","8353","8845","9164","9052",,
"                Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"20908","19847","19115","17535","17332","16524","17020","17036","16846","16671","16870","16377",,
"                Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"12746","12590","12133","11741","11821","11713","11722","11783","11660","11751","11919","11942",,
"                Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"85","81","76","75","96","88","99","106","103","132","131","132",,
"                Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1995","1993","2025","1940","1848","1969","1979","2015","2009","2179","2219","2174",,
"                Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3805","3793","3785","3760","3931","4042","4215","4603","4803","5149","5508","5549",,
"                New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"268","288","265","264","286","314","316","259","280","344","337","369",,
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"21242","20693","20350","19443","19353","19440","19139","20102","18363","17772","17793","17552",,
"                New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"637","632","649","623","630","634","669","732","664","605","661","673",,
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"54650","49624","49213","47678","49738","49124","47676","46744","46109","45989","45021","43650",,
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"30840","31405","30571","29883","31638","31484","32115","31963","31864","32966","33669","32062",,
"                North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"174","181","185","224","245","296","375","504","640","741","735","761",,
"                Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"25788","25912","25206","24355","24135","24526","24952","24931","25078","25161","25268","24916",,
"                Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4991","5016","5275","5008","5022","5169","5092","5296","5293","5561","5321","5349",,
"                Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1196","1327","1244","1257","1269","1305","1331","1333","1463","1455","1542","1434",,
"                Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"26146","26526","26429","25752","25453","25701","24770","24024","24100","23150","23464","23511",,
"                Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1250","1278","1369","1459","1418","1369","1411","1365","1392","1362","1326","1539",,
"                South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"21260","21516","20439","19523","19030","18900","18591","18598","18577","18343","18737","18077",,
"                South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"219","217","253","262","282","325","342","356","344","429","473","474",,
"                Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"18743","18967","18399","17468","17369","17467","17860","17791","17507","17951","18177","17418",,
"                Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"49793","49458","49212","47482","46102","47705","49039","51274","53144","56338","56112","52999",,
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"604","614","687","720","793","717","728","740","823","827","881","842",,
"                Vermont (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"101","102","85","122","91","98","115","126","149","105","139","144",,
"                Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"24333","23667","23533","22983","22553","22840","22937","22828","23029","23339","23691","23039",,
"                Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4865","4859","4962","4865","5142","5075","5241","5254","5302","5847","6059","5986",,
