"Years","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"                Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"163","150","121","118","103","92","88","76","67","69","68","66",,
"                Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"887","843","827","705","587","544","526","470","457","404","301","304",,
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"26","32","33","27","23","13","15","17","16","10",,,,
"                Vermont",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"119","105","106","71","57","70","35","61","45","45","40","39",,
"                Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"89","82","57","54","49","46","35","35","31","34","23","17",,
"                West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"31","26","22","21","28","25","21","25","10","17","10","10",,
"                Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"80","76","61","57","57","41","39","36","35","22","24","26",,
"                Wyoming",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         15-19 (People)","552161","527392","513758","489286","469682","467485","461905","462312","478353","506503","521826","519577","505415","501093","505488","499873","491577","483220","484895","476050","468990","445944","425493","414580","415262","414593","435436","444899","434758","409802","367678","329772","305388","273105","249078","229715","209809","194377","179871","171674","157548"
"            By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Alabama (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"8696","8559","8205","7343","6609","6195","5392","5009","4739","4480","4241","3924",,
"                Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1117","1135","1106","956","880","817","708","645","662","583","486","423",,
"                Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"12868","12051","10874","9389","8402","8119","7232","6622","5910","5357","5025","4650",,
"                Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5926","5940","5753","5229","4845","4349","4155","3782","3677","3372","3178","2928",,
"                California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"53417","51730","47831","43149","38303","34890","30505","27025","24175","21412","18935","16929",,
"                Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"6737","6638","6203","5474","4734","4154","3834","3377","3270","3068","2790","2522",,
"                Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2837","2789","2605","2274","2020","1889","1606","1420","1241","1136","1053","988",,
"                Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1244","1237","1081","974","900","761","728","616","540","583","552","497",,
"                District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1053","1083","1034","951","879","791","637","565","501","460","408","373",,
"                Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"25693","24077","22021","19127","17125","15952","13962","12816","11957","11195","10708","9829",,
"                Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"18085","17273","16345","14378","12991","11488","10322","9661","8829","8248","7778","7385",,
"                Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1610","1625","1547","1347","1199","1108","976","893","789","728","714","643",,
"                Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2257","2261","2038","1863","1584","1568","1425","1303","1288","1171","1106","972",,
"                Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"18089","17410","16196","14798","13026","12098","10525","9591","8764","7729","7103","6399",,
"                Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"9948","9607","9527","8665","7917","7370","6742","6223","5813","5255","5091","4840",,
"                Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3529","3591","3421","3017","2665","2498","2289","2048","1943","1804","1678","1603",,
"                Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4271","4403","4233","3865","3493","3306","2869","2674","2479","2125","2057","1933",,
"                Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"7547","7636","7208","6684","6111","5689","5410","4877","4503","4331","4060","3816",,
"                Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"8974","8817","8413","7689","6970","6458","5811","5270","5055","4545","4269","3991",,
"                Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1172","1117","1047","917","867","798","697","655","603","574","504","419",,
"                Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"6892","6560","6140","5396","4797","4286","3690","3379","3214","3017","2667","2645",,
"                Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4949","4586","4482","3909","3478","3220","2734","2404","2140","1932","1827","1638",,
"                Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"12497","11985","11709","10835","9658","8913","7872","6967","6356","5792","5307","5042",,
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5193","4885","4384","4035","3464","3295","2950","2709","2386","2200","2113","1794",,
"                Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"7811","7193","6945","6077","5363","4781","4347","3853","3536","3326","3137","2808",,
"                Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"9244","9160","8499","7669","6944","6317","5814","5232","4838","4505","4301","4109",,
"                Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1200","1312","1264","1128","930","892","855","807","770","720","645","531",,
"                Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2280","2286","2209","1958","1731","1671","1552","1390","1388","1213","1158","1073",,
